Title	Year	Rating	Cast	Runtime
Aloko Udapadi	2017	9.6	Uddika Premarathna, Dilhani Ekanayake, Roshan Ravindra, Menaka Peiris	113
Dag II	2016	9.3	Ozan Agaç, Bedii Akin, Murat Arkin, Eylül Arular	135
Aynabaji	2016	9.3	Chanchal Chowdhury, Masuma Rahman Nabila, Bijori Barkatullah, Partho Barua	147
Wheels	2014	9.3	Donavon Warren, Patrick Hume, Diana Gettinger, Kevin McCorkle	115
The Dark Knight	2008	9.0	Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine	152
Vikram Vedha	2017	8.8	Vijay Sethupathi, Madhavan, Varalaxmi Sarathkumar, Shraddha Srinath	147
Aruvi	2016	8.8	Aditi Balan, Padmashri Mohammad Ali, Pradeep Anthony, Arnold	130
Drishyam	2013	8.8	Mohanlal, Meena, Ansiba, Esther	160
The Phantom of the Opera at the Royal Albert Hall	2011	8.8	Ramin Karimloo, Sierra Boggess, Hadley Fraser, Wendy Ferguson	137
Inception	2010	8.8	Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe	148
Ayla: The Daughter of War	2017	8.7	Çetin Tekindor, Ismail Hacioglu, Kyung-jin Lee, Kim Seol	125
Interstellar	2014	8.6	Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy	169
Dhuruvangal Pathinaaru	2016	8.5	Rahman, Prakash Raghavan, Sharath Kumar, Santhosh Krishna	105
Dangal	2016	8.5	Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra	161
Thani Oruvan	2015	8.5	Jayam Ravi, Arvind Swamy, Nayanthara, Nassar	160
RangiTaranga	2015	8.5	Nirup Bhandari, Radhika Chetan, Avantika Shetty, Sai Kumar	149
Whiplash	2014	8.5	Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser	106
The Intouchables	2011	8.5	François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot	112
Kiborgy. Heroyi ne vmyrayut	2017	8.4	Vyacheslav Dovzhenko, Roman Yasinovsky, Andrey Isaenko, Viktor Zhdanov	112
Arjun Reddy	2017	8.4	Vijay Deverakonda, Shalini Pandey, Amit Sharma, Rahul Ramakrishna	182
Sairat	2016	8.4	Rinku Rajguru, Akash Thosar, Arbaz Shaikh, Tanaji Galgunde	174
Kimi no na wa.	2016	8.4	Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki	106
Jigarthanda	2014	8.4	Siddharth, Bobby Simha, Lakshmi Menon, Nassar	171
Ulidavaru Kandanthe	2014	8.4	Kishore Kumar G., Rakshit Shetty, Thara, Achyuth Kumar	154
Soodhu Kavvum	2013	8.4	Vijay Sethupathi, Sanchita Shetty, Radha Ravi, M.S. Bhaskar	135
Coco	2017	8.4	Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach	105
Lucia	2013	8.4	Sathish Neenasam, Sruthi Hariharan, Achyuth Kumar, Sabreen Baker	135
Vishwaroopam	2013	8.4	Pooja Kumar, Miles Anderson, Kamal Haasan, Rahul Bose	148
Django Unchained	2012	8.4	Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington	165
The Dark Knight Rises	2012	8.4	Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman	164
3 Idiots	2009	8.4	Aamir Khan, Madhavan, Mona Singh, Sharman Joshi	170
WALL·E	2008	8.4	Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard	98
Theeran Adhigaaram Ondru	2017	8.3	Karthi, Rakul Preet Singh, Abhimanyu Singh, Bose Venkat	157
Abad va yek rooz	2016	8.3	Payman Maadi, Navid Mohammadzadeh, Parinaz Izadyar, Shabnam Moghadami	95
Baahubali 2: The Conclusion	2017	8.3	Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia	167
Premam	2015	8.3	Nivin Pauly, Sai Pallavi, Madonna Sebastian, Anupama Parameshwaran	156
Drishyam	2015	8.3	Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor	163
Chaar Sahibzaade	2014	8.3	Harry Baweja, Om Puri, Harman Baweja	135
Bangalore Days	2014	8.3	Nazriya Nazim, Nivin Pauly, Dulquer Salmaan, Fahadh Faasil	171
It's Such a Beautiful Day	2012	8.3	Don Hertzfeldt	62
1 - Nenokkadine	2014	8.3	Mahesh Babu, Kriti Sanon, Nassar, Pradeep Singh Rawat	170
Ustad Hotel	2012	8.3	Dulquer Salmaan, Thilakan, Siddique, Nithya Menon	151
Shahid	2012	8.3	Rajkummar Rao, Mohammed Zeeshan Ayyub, Baljinder Kaur, Tigmanshu Dhulia	129
Jagten	2012	8.3	Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm	115
Bol	2011	8.3	Humaima Malik, Manzar Sehbai, Shafqat Cheema, Iman Ali	165
Jodaeiye Nader az Simin	2011	8.3	Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini	123
Montevideo, vidimo se!	2014	8.3	Milos Bikovic, Petar Strugar, Armand Assante, Viktor Savic	141
Montevideo, Bog te video!	2010	8.3	Milos Bikovic, Petar Strugar, Nina Jankovic, Danina Jeftic	140
Incendies	2010	8.3	Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel	131
Up	2009	8.3	Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer	96
